mean_abs_fbme_d1_cgm,total_demand,total_renewables,renewable_share,hourly_d1_overloads,hourly_d1_overload_mw,sum_abs_np_diff,mean_line_loading,max_line_loading,d1_cgm_objective,d0_objective,n_ptdf_rows_raw,n_unique_cnec_idx,n_matched_lines,status,reason,strategy,t
40.681555180440945,43148.480171856,15407.41320151479,0.3570789316367259,6,183.7571099274963,2042.8737446189448,0.4064811721049406,1.1391370086976669,1250371.436759407,112078.8887447895,267,89,89,ok,,dynamic_gen,6085
43.97912063598002,42125.75154628624,13776.325484372977,0.3270285983915575,4,56.90896855296961,1405.0391861145386,0.3869703518195169,1.0777472451847427,1278346.3937143632,30731.784199791877,255,85,85,ok,,dynamic_gen,6086
19.740406106563203,42297.60239763165,11865.904348309457,0.28053373419988126,2,12.13983313001097,823.4309269614427,0.3690992532999128,1.0431070188867766,1398107.3251746343,0.0,198,66,66,ok,,dynamic_gen,6087
26.311971447039365,42047.99208305337,9517.642859200654,0.22635189904910005,3,16.613138695710347,983.4423336399277,0.338453418796436,1.050992444069841,1510363.8738353848,0.0,189,63,63,ok,,dynamic_gen,6088
23.27540473429712,43797.17004567086,6459.493848042966,0.14748655772295627,3,52.43071931233436,647.0578993753509,0.3410937148983518,1.0949085108846572,1788138.8974220082,42509.33721724356,189,63,63,ok,,dynamic_gen,6089
40.58313642828727,45817.47568929555,4030.3072012306757,0.08796440966240937,4,33.37082761423119,2386.721147085304,0.3630004231907075,1.0707759429988943,2045481.1676816116,18244.107476930047,171,57,57,ok,,dynamic_gen,6090
11.245879941743382,47101.69239299249,3700.373581500001,0.07856137207610231,6,38.4956603228772,168.1351953015378,0.360969930825344,1.0294263325559077,2137749.674619279,0.0,177,59,59,ok,,dynamic_gen,6091
13.706587211539757,47692.83272961272,3934.7469,0.0825018493304319,6,29.306581619055635,159.333248880665,0.3584622943208526,1.0279884063152351,2158128.852048332,0.0,183,61,61,ok,,dynamic_gen,6092
14.8661032155598,44378.848059463955,3976.0004595,0.08959224119951223,2,11.119172043557114,1035.386045189643,0.36073927674978024,1.028868261460014,1946662.8797634144,0.0,180,60,60,ok,,dynamic_gen,6093
5.82769975529986,40516.60266550649,3966.559246499999,0.09789960128806406,1,4.269578971456326,1.2732925824820995e-11,0.3281889409102301,1.0152381996574327,1704812.9262853179,0.0,174,58,58,ok,,dynamic_gen,6094
1.426983434067016e-13,36269.68171661606,3899.3539245,0.10751001221810025,0,0.0,3.183231456205249e-12,0.286517405947149,0.9020490055880671,1443824.9879415547,0.0,189,63,63,ok,,dynamic_gen,6095
3.8942982262120005e-13,34566.26416767081,3722.7272729999995,0.10769828220203785,0,0.0,2.6147972675971687e-12,0.2645568326015653,0.8630779575086938,1346743.000374286,0.0,189,63,63,ok,,dynamic_gen,6096
3.941012692834757e-13,33022.376506389744,3505.2599160000004,0.10614802103421422,0,0.0,4.661160346586257e-12,0.2524417224542138,0.8517561394321141,1264009.1713514798,0.0,189,63,63,ok,,dynamic_gen,6097
2.3337508152304588e-11,32149.759765670264,3323.959851,0.10338988145564146,0,0.0,2.53749021794647e-10,0.24769310655010054,0.8562467081397912,1223804.2412756109,0.0,189,63,63,ok,,dynamic_gen,6098
8.623674183084638e-13,32193.880338852563,3220.2168945,0.10002574590593055,0,0.0,4.320099833421409e-12,0.24812553950298907,0.8509512020754668,1229841.9355949522,0.0,189,63,63,ok,,dynamic_gen,6099
3.4882588804064375e-13,32908.56271238458,3142.052025,0.0954782514344676,0,0.0,4.831690603168681e-12,0.2519593968544567,0.848799111143781,1272241.7396611348,0.0,189,63,63,ok,,dynamic_gen,6100
3.3755758006459333e-13,34901.323467779475,3134.797956,0.0898188849169004,0,0.0,6.0254023992456496e-12,0.2689238006554457,0.8610773905298595,1391655.116223242,0.0,189,63,63,ok,,dynamic_gen,6101
3.3680582730530407e-13,43203.72506836197,3188.6225049774334,0.07380434210087262,0,0.0,3.183231456205249e-12,0.3392313031587343,0.9716081977321693,1901898.5209007117,0.0,177,59,59,ok,,dynamic_gen,6102
5.969478168396866e-13,46856.24815965888,3968.568199528334,0.08469667024994743,0,0.0,7.73070496506989e-12,0.3442122491159518,0.9894137771437083,2072462.1880422116,0.0,180,60,60,ok,,dynamic_gen,6103
53.373491267134426,48531.38954015577,6149.226704247113,0.12670617434432058,5,63.086386644364495,2873.836503888967,0.35914871956683003,1.107448829163813,2041796.5066898386,55118.59229116833,183,61,61,ok,,dynamic_gen,6104
101.57936502585154,48347.949005347604,8655.861746187245,0.17903265648827937,3,120.79212446634398,3698.5066093818787,0.3653279872276096,1.1787266801918495,1877746.507368801,126788.27281493678,195,65,65,ok,,dynamic_gen,6105
45.82177444670727,48336.2706818584,11484.311217080753,0.23759199986007717,3,155.18417880819965,781.5098010703182,0.3766583199264204,1.2208949040186343,1722455.0811975356,169188.30433008517,189,63,63,ok,,dynamic_gen,6106
