d1_cgm_objective,d0_objective,strategy,t
1721654.4963788805,0.0,dynamic_gen,484
1672519.1800919324,0.0,dynamic_gen,485
1527948.2434873548,0.0,dynamic_gen,487
1585405.339508635,0.0,dynamic_gen,486
1607529.3529169355,0.0,dynamic_gen,488
1688396.2205233034,0.0,dynamic_gen,489
1723532.511338156,37070.81274432311,dynamic_gen,491
1734756.4235033682,0.0,dynamic_gen,490
1635518.7316523693,64303.49367751471,dynamic_gen,492
1545565.7218120315,97918.57534056595,dynamic_gen,493
1535407.4803260472,45987.22906771918,dynamic_gen,494
1532310.287762326,0.0,dynamic_gen,495
1689917.615390378,0.0,dynamic_gen,497
1836789.5546448864,0.0,dynamic_gen,498
1609453.7155282632,0.0,dynamic_gen,496
1902422.2430162118,0.0,dynamic_gen,499
1606505.788934282,0.0,dynamic_gen,501
1763816.7011392019,0.0,dynamic_gen,500
1596469.8810316934,0.0,dynamic_gen,502
1424036.821912563,0.0,dynamic_gen,504
1571673.5200353363,0.0,dynamic_gen,503
1241217.8788509076,0.0,dynamic_gen,505
1147362.3346988992,0.0,dynamic_gen,507
1161784.181458409,0.0,dynamic_gen,508
1170392.2301444616,0.0,dynamic_gen,506
1190742.1311738947,0.0,dynamic_gen,509
1094418.3026784572,0.0,dynamic_gen,511
1158868.794589805,0.0,dynamic_gen,510
1313971.7197283208,0.0,dynamic_gen,514
1111276.120808322,0.0,dynamic_gen,512
1180257.2479673214,0.0,dynamic_gen,513
1577466.1804239936,0.0,dynamic_gen,518
1586527.5828844875,0.0,dynamic_gen,517
1409934.8432907872,0.0,dynamic_gen,515
1524691.376865341,0.0,dynamic_gen,516
1525254.0545268997,0.0,dynamic_gen,519
1501235.5300384075,0.0,dynamic_gen,521
1511209.1347066157,0.0,dynamic_gen,520
1730471.9726136152,0.0,dynamic_gen,523
1631797.971067537,0.0,dynamic_gen,522
1691529.3936787278,0.0,dynamic_gen,524
1662281.5433701014,0.0,dynamic_gen,525
1711976.7664430859,0.0,dynamic_gen,527
1560827.6508920868,0.0,dynamic_gen,528
1674760.7185350438,0.0,dynamic_gen,526
1374977.3844850915,0.0,dynamic_gen,529
1351755.9260652843,0.0,dynamic_gen,533
1303185.573618194,0.0,dynamic_gen,530
1304379.2367233138,0.0,dynamic_gen,531
1310687.2684668126,0.0,dynamic_gen,532
1951686.5849400011,0.0,dynamic_gen,535
1493178.8603308836,0.0,dynamic_gen,534
2280124.898291865,0.0,dynamic_gen,536
2226279.447784156,0.0,dynamic_gen,538
2330706.511850873,0.0,dynamic_gen,537
2257141.872913366,0.0,dynamic_gen,539
2235946.5075123133,0.0,dynamic_gen,542
2244734.917874702,0.0,dynamic_gen,541
2273010.675941714,815.861742862342,dynamic_gen,540
2248061.5901355622,0.0,dynamic_gen,543
2344617.554438181,0.0,dynamic_gen,544
2391468.1534225144,0.0,dynamic_gen,545
2551972.715040705,0.0,dynamic_gen,547
2225897.830822029,0.0,dynamic_gen,549
2408018.462651594,0.0,dynamic_gen,548
2516976.002930717,0.0,dynamic_gen,546
2088952.6636486684,0.0,dynamic_gen,550
1583252.3346299836,84770.4715601558,dynamic_gen,552
1903634.5800819579,15624.773965597904,dynamic_gen,551
1266919.4278706163,0.0,dynamic_gen,554
1385408.9287512791,0.0,dynamic_gen,553
1201881.7932621152,0.0,dynamic_gen,555
1456412.518720089,0.0,dynamic_gen,558
1216746.1680268925,0.0,dynamic_gen,556
1879847.3182294013,222678.2569643834,dynamic_gen,559
1278157.7711375672,0.0,dynamic_gen,557
2177115.1173080592,161712.2674186172,dynamic_gen,560
2209822.7718660114,85948.01163760119,dynamic_gen,561
