mean_abs_fbme_d1_cgm,strategy,t
86.10250558376478,dynamic_gen,7671
111.39062913940545,dynamic_gen,7672
98.34453012456694,dynamic_gen,7673
84.24907303877066,dynamic_gen,7674
86.22258984695316,dynamic_gen,7675
74.12763866194128,dynamic_gen,7676
72.67229863574836,dynamic_gen,7677
34.790590684240854,dynamic_gen,7678
1.1531049359158288e-11,dynamic_gen,7679
3.577534126657791e-13,dynamic_gen,7680
4.909671790342918e-13,dynamic_gen,7681
4.1952719737349656e-13,dynamic_gen,7682
0.3640222173585192,dynamic_gen,7683
0.6867431739571915,dynamic_gen,7684
32.32580582979424,dynamic_gen,7685
7.077063222495191e-13,dynamic_gen,7686
61.87351324987396,dynamic_gen,7687
46.78764558405178,dynamic_gen,7688
107.56897218469075,dynamic_gen,7689
101.7642578241633,dynamic_gen,7690
107.53174717860652,dynamic_gen,7691
12.732712478720547,dynamic_gen,7692
8.60368086003981,dynamic_gen,7693
7.110948273842688,dynamic_gen,7694
2.034508402021787,dynamic_gen,7695
28.71549847540426,dynamic_gen,7696
79.54719426036635,dynamic_gen,7697
35.576114843443904,dynamic_gen,7698
2.808132432392915,dynamic_gen,7699
19.39051663313674,dynamic_gen,7700
44.144294530282124,dynamic_gen,7701
19.943871014490004,dynamic_gen,7702
12.513527577476552,dynamic_gen,7703
34.04386858168218,dynamic_gen,7704
25.04241879434834,dynamic_gen,7705
41.208032980663226,dynamic_gen,7706
36.64933919073323,dynamic_gen,7707
38.76452226842009,dynamic_gen,7708
129.08033574833246,dynamic_gen,7709
26.847946766515264,dynamic_gen,7710
23.247666822188805,dynamic_gen,7711
34.95158912031509,dynamic_gen,7712
12.265471509014343,dynamic_gen,7713
34.636654108054074,dynamic_gen,7714
49.656966548001456,dynamic_gen,7715
58.869447552846665,dynamic_gen,7716
56.63103709564916,dynamic_gen,7717
60.333672382944705,dynamic_gen,7718
52.663831958006064,dynamic_gen,7719
2.724562562249234,dynamic_gen,7720
6.764694885869489,dynamic_gen,7721
13.206580965608646,dynamic_gen,7722
6.8906419318986005,dynamic_gen,7723
57.931452721296054,dynamic_gen,7724
58.456695598513356,dynamic_gen,7725
13.070768241481396,dynamic_gen,7726
31.789681610341123,dynamic_gen,7727
65.81784993957898,dynamic_gen,7728
206.8834551649271,dynamic_gen,7729
127.3289165282604,dynamic_gen,7730
113.76644737027638,dynamic_gen,7731
123.08890877926265,dynamic_gen,7732
109.9087323761299,dynamic_gen,7733
91.6832323781929,dynamic_gen,7734
137.93544691131052,dynamic_gen,7735
