t,line,overload_mw,strategy
32,222,13.527064399121173,NO_SCOPF_50%_pmax_sub
32,223,32.768430230407375,NO_SCOPF_50%_pmax_sub
32,240,113.61429018103672,NO_SCOPF_50%_pmax_sub
32,241,113.61429018103672,NO_SCOPF_50%_pmax_sub
32,271,42.082278385760674,NO_SCOPF_50%_pmax_sub
32,274,48.896280731590196,NO_SCOPF_50%_pmax_sub
32,296,18.095146466460164,NO_SCOPF_50%_pmax_sub
33,34,0.28954777844558066,NO_SCOPF_50%_pmax_sub
33,78,19.27303300000017,NO_SCOPF_50%_pmax_sub
33,79,79.03803299999981,NO_SCOPF_50%_pmax_sub
33,86,70.82332140733433,NO_SCOPF_50%_pmax_sub
33,88,115.12989742238858,NO_SCOPF_50%_pmax_sub
33,89,80.32440051021194,NO_SCOPF_50%_pmax_sub
33,95,54.71306185556659,NO_SCOPF_50%_pmax_sub
33,97,172.78620285096395,NO_SCOPF_50%_pmax_sub
33,101,18.54904148688763,NO_SCOPF_50%_pmax_sub
33,102,26.74333601930539,NO_SCOPF_50%_pmax_sub
33,121,10.199053723016391,NO_SCOPF_50%_pmax_sub
33,145,242.29658432909184,NO_SCOPF_50%_pmax_sub
33,175,79.03803299999981,NO_SCOPF_50%_pmax_sub
33,176,19.27303300000017,NO_SCOPF_50%_pmax_sub
33,205,0.28954777844558066,NO_SCOPF_50%_pmax_sub
33,216,68.63012580874556,NO_SCOPF_50%_pmax_sub
33,217,115.12989742238858,NO_SCOPF_50%_pmax_sub
33,218,80.32440051021194,NO_SCOPF_50%_pmax_sub
33,220,54.71306185556659,NO_SCOPF_50%_pmax_sub
33,222,18.54904148688763,NO_SCOPF_50%_pmax_sub
33,223,26.74333601930539,NO_SCOPF_50%_pmax_sub
33,236,1.3701289738501714,NO_SCOPF_50%_pmax_sub
33,240,86.23553592392682,NO_SCOPF_50%_pmax_sub
33,241,86.23553592392682,NO_SCOPF_50%_pmax_sub
33,266,15.197623032262072,NO_SCOPF_50%_pmax_sub
33,267,15.197623032262072,NO_SCOPF_50%_pmax_sub
33,274,83.87167925058588,NO_SCOPF_50%_pmax_sub
