t,total_demand_fbmc,total_renewables_fbmc,renewable_share_fbmc,mean_loading_d1,high_loading_share_d1,n_high_loading_lines_d1,n_lines_total_d1,demand_bin,renewables_bin,congestion_bin,strategy
6280,20216.470000000005,3975.447022747067,0.19664397507314907,0.3373807503400604,0.033210332103321034,9,271,mid,mid,mid,dynamic_gen
6281,20493.06000000001,2739.5545507457277,0.1336820636227936,0.34348184830997514,0.03690036900369004,10,271,high,low,mid,dynamic_gen
6282,20779.18999999999,1479.3545590877104,0.07119404361227319,0.3396608189939112,0.04059040590405904,11,271,high,low,mid,dynamic_gen
6283,21534.770000000004,1343.641473,0.06239404799772645,0.331506419085492,0.04059040590405904,11,271,high,low,mid,dynamic_gen
6284,21652.920000000006,1390.3484355,0.06421066699087234,0.3326148024647875,0.04059040590405904,11,271,high,low,mid,dynamic_gen
6285,20415.150000000005,1351.2082994999998,0.06618654771089115,0.3445171666218277,0.04428044280442804,12,271,high,low,mid,dynamic_gen
6286,18693.509999999995,1345.916967,0.07199915730111683,0.3375734585742169,0.02952029520295203,8,271,mid,low,mid,dynamic_gen
6287,16985.960000000003,1370.9058989999999,0.0807081789313056,0.3140717085496131,0.01107011070110701,3,271,mid,low,low,dynamic_gen
6288,16196.880000000001,1434.9224130000002,0.08859251985567591,0.3023878369006663,0.007380073800738007,2,271,low,low,low,dynamic_gen
6289,15556.870000000003,1516.9624410000001,0.09751077440384857,0.28109802476750706,0.007380073800738007,2,271,low,low,low,dynamic_gen
6290,15331.650000000003,1608.579078,0.10491884943890577,0.2752413143343009,0.0036900369003690036,1,271,low,low,low,dynamic_gen
6291,15705.540000000003,1685.6333385,0.1073273086121203,0.2853027349025467,0.007380073800738007,2,271,low,low,low,dynamic_gen
6292,15877.080000000007,1721.2203614999999,0.10840912570195521,0.29062793218605953,0.007380073800738007,2,271,low,low,low,dynamic_gen
6293,16979.35,1759.829073,0.10364525573711598,0.32068380455323303,0.01107011070110701,3,271,mid,low,low,dynamic_gen
6294,19935.470000000016,1798.5038325,0.09021627443446273,0.3645841350244824,0.04428044280442804,12,271,mid,low,mid,dynamic_gen
6295,21340.03,2376.872035160459,0.1113809134832734,0.3646488243017868,0.05904059040590406,16,271,high,low,high,dynamic_gen
