t,d2_objective,d1_mc_objective,n_total_candidates,n_initial_active,n_final_active,n_binding_final,n_screening_iterations
7100,2097548.419362161,2097548.4196621645,17627,65,65,0,1
7101,1898320.8267632606,1898320.8270632606,17627,65,65,0,1
7102,1687421.5645389964,1687421.5648389962,17627,65,65,0,1
7103,1450674.4183020575,1450674.4186020573,17627,65,65,0,1
7104,1322781.483038383,1322781.483338383,17627,65,65,0,1
7105,1216410.583971912,1216410.5842331753,17627,65,65,0,1
7106,1183163.2777970554,1183163.27802102,17627,65,65,0,1
7107,1180501.1106508584,1180501.1108656432,17627,65,65,0,1
7108,1263925.044181441,1263925.0444383381,17627,65,65,0,1
7109,1445214.1582036722,1445214.158503672,17627,65,65,0,1
7110,1956090.3272256525,1956090.327525652,17627,65,65,0,1
7111,2305933.406298844,2305933.4065988446,17627,65,65,0,1
7112,2296616.9265488586,2296616.926848862,17627,65,65,0,1
7113,2132651.3580192537,2132651.358319254,17627,65,65,0,1
7114,2020417.1771491196,2020463.3407501874,17627,65,67,2,2
7115,1948047.9320521879,1948217.8813989994,17627,65,69,2,2
7116,1841505.9691351748,1841985.9410086502,17627,65,69,2,2
7117,1808645.4225686025,1809091.9651058197,17627,65,69,2,2
7118,1826710.5256148023,1827051.4390513373,17627,65,69,2,2
7119,1959692.4570633103,1959796.8154369644,17627,65,67,2,2
7120,2109552.6909751324,2109552.691275133,17627,65,65,0,1
7121,2203980.795713826,2203980.796013826,17627,65,65,0,1
7122,2396331.7098257868,2396331.7101257867,17627,65,65,0,1
7123,2512502.025177247,2512502.0254772473,17627,65,65,0,1
7124,2304503.6495902897,2304503.6498902896,17627,65,65,0,1
7125,2146949.7468623864,2146949.7471623863,17627,65,65,0,1
7126,1913456.3439579941,1913456.3442579946,17627,65,65,0,1
7127,1631927.5152515443,1631927.5155515443,17627,65,65,0,1
7128,1492210.221332787,1492210.221549278,17627,65,65,0,1
7129,1397568.5963618055,1397568.596606624,17627,65,65,0,1
7130,1343994.9718877738,1343994.972166894,17627,65,65,0,1
7131,1389915.7624182596,1389915.7626653723,17627,65,65,0,1
7132,1509748.4032347635,1509748.4034763065,17627,65,65,0,1
7133,1677360.2590491516,1677360.2593491515,17627,65,65,0,1
7134,2096407.5645747655,2096407.5648747652,17627,65,65,0,1
